,0,1
convert-jpg2gif-query-1548.smt2,1316.904,unknown
convert-jpg2gif-query-1352.smt2,6.135,sat
prp-22-34.smt2,21.022,sat
prp-22-48.smt2,298.265,sat
35-3.smt2,0.051,sat
35-11.smt2,0.048,sat
convert-jpg2gif-query-1156.smt2,0.886,sat
prp-46-42.smt2,564.693,sat
ex9560_2400_100.smt2,0.564,sat
prp-6-48.smt2,196.442,sat
30-9.slack.smt2,0.048,sat
prp-2-25.smt2,2.239,sat
15-3.slack.smt2,0.033,sat
problem__013.smt2,0.085,sat
convert-jpg2gif-query-1162.smt2,0.619,sat
prp-8-43.smt2,871.788,sat
ex7800_2400_100.smt2,1.226,sat
ex26200_2600_100.smt2,1.243,sat
20-10.smt2,0.035,sat
25-11.smt2,0.058,sat
35-10.slack.smt2,0.05,sat
prp-35-48.smt2,117.411,sat
20-6.slack.smt2,0.054,sat
prp-40-48.smt2,14.682,sat
ex24500_2600_100.smt2,1.806,sat
problem_2__018.smt2,0.196,sat
30-25.smt2,0.124,sat
convert-jpg2gif-query-1451.smt2,6.34,sat
30-35.smt2,1.744,sat
45-31.slack.smt2,1.419,sat
convert-jpg2gif-query-1544.smt2,499.79,sat
40-4.smt2,0.051,sat
problem__026.smt2,0.738,sat
15-17.smt2,0.073,sat
35-6.smt2,0.043,sat
prp-1-50.smt2,0.579,sat
problem__019.smt2,0.079,sat
ex8200_2400_100.smt2,0.715,sat
prp-13-39.smt2,153.457,sat
prp-14-31.smt2,12.312,sat
convert-jpg2gif-query-1501.smt2,1268.665,unknown
convert-jpg2gif-query-1140.smt2,0.705,sat
30-20.slack.smt2,0.052,sat
prp-24-38.smt2,164.387,sat
prp-7-44.smt2,980.333,sat
prp-13-40.smt2,178.994,sat
prp-9-48.smt2,248.224,sat
convert-jpg2gif-query-1176.smt2,0.634,sat
ex6320_2400_100.smt2,1.48,sat
prp-11-49.smt2,175.222,sat
prp-34-37.smt2,138.893,sat
convert-jpg2gif-query-1365.smt2,26.243,sat
ex7900_2400_100.smt2,0.609,sat
ex8840_2400_100.smt2,0.659,sat
ex20300_2600_100.smt2,1.314,sat
ex9800_2400_100.smt2,0.779,sat
problem__034.smt2,1.893,sat
30-34.slack.smt2,0.591,sat
convert-jpg2gif-query-1614.smt2,1297.47,unknown
ex17400_2600_100.smt2,1.441,sat
10-21.slack.smt2,0.045,sat
convert-jpg2gif-query-1516.smt2,254.608,sat
30-34.smt2,0.411,sat
45-5.smt2,0.043,sat
ex18200_2600_100.smt2,1.884,sat
ex6720_2400_100.smt2,1.123,sat
40-1.smt2,0.042,sat
convert-jpg2gif-query-1598.smt2,1253.79,unknown
normalized-j906_2-sat.smt2,16.911,sat
30-24.slack.smt2,0.079,sat
25-14.smt2,0.068,sat
ex9540_2400_100.smt2,0.848,sat
ex6680_2400_100.smt2,1.096,sat
ex5760_2400_100.smt2,2.31,sat
25-9.slack.smt2,0.058,sat
ex27100_2600_100.smt2,1.586,sat
prp-22-38.smt2,175.043,sat
prp-32-41.smt2,281.85699999999997,sat
ex9740_2400_100.smt2,0.813,sat
30-28.slack.smt2,7.585,sat
40-9.smt2,0.063,sat
30-33.smt2,1.405,sat
prp-8-45.smt2,999.759,sat
40-23.slack.smt2,0.236,sat
convert-jpg2gif-query-1602.smt2,1238.336,unknown
45-21.smt2,0.065,sat
*,0.031,unknown
prp-20-38.smt2,124.17699999999999,sat
40-34.smt2,0.486,sat
ex9700_2400_100.smt2,0.787,sat
prp-13-25.smt2,2.514,sat
10-15.smt2,0.037,sat
20-21.slack.smt2,0.094,sat
ex6940_2400_100.smt2,0.984,sat
ex7520_2400_100.smt2,1.036,sat
prp-29-37.smt2,100.991,sat
prime_cone_sat_13.smt2,0.104,sat
problem_2__007.smt2,0.052,sat
convert-jpg2gif-query-1583.smt2,1286.518,unknown
35-33.slack.smt2,0.506,sat
ex8700_2400_100.smt2,0.768,sat
35-35.smt2,1.037,sat
unbd-sage1.smt2,1205.164,unknown
prime_cone_sat_14.smt2,0.094,sat
45-9.slack.smt2,0.065,sat
30-6.slack.smt2,0.05,sat
20-24.slack.smt2,0.183,sat
45-30.smt2,0.265,sat
convert-jpg2gif-query-1337.smt2,5.899,sat
ex27200_2600_100.smt2,1.509,sat
prp-22-37.smt2,149.737,sat
prp-5-30.smt2,8.138,sat
prp-12-26.smt2,2.003,sat
prp-46-44.smt2,1250.147,unknown
prp-46-45.smt2,1203.035,sat
prp-51-48.smt2,14.637,sat
40-6.smt2,0.041,sat
convert-jpg2gif-query-1139.smt2,0.814,sat
30-7.slack.smt2,0.05,sat
ex8880_2400_100.smt2,0.829,sat
35-10.smt2,0.039,sat
prp-19-28.smt2,1.207,sat
10-35.slack.smt2,0.035,sat
convert-jpg2gif-query-1151.smt2,0.913,sat
ex6580_2400_100.smt2,1.27,sat
prp-29-33.smt2,13.573,sat
prp-8-44.smt2,790.772,sat
25-24.slack.smt2,0.103,sat
convert-jpg2gif-query-1448.smt2,7.093,sat
convert-jpg2gif-query-1396.smt2,6.24,sat
30-8.slack.smt2,0.057,sat
prp-12-49.smt2,188.636,sat
25-8.slack.smt2,0.042,sat
45-1.smt2,0.044,sat
prp-16-39.smt2,196.273,sat
problem_2__015.smt2,0.047,sat
convert-jpg2gif-query-1555.smt2,45.613,sat
prime_cone_sat_19.smt2,0.106,sat
