,0,1
normalized-1096.cudf.paranoid.smt2,0.038,sat
normalized-j12010_10-sat.smt2,0.575,sat
normalized-j1201_5-sat.smt2,0.002,unknown
normalized-j12016_4-sat.smt2,0.002,unknown
normalized-j12021_4-sat.smt2,0.002,unknown
normalized-j12022_9-sat.smt2,0.002,unknown
normalized-j1203_2-sat.smt2,0.003,unknown
normalized-j12033_3-sat.smt2,0.002,unknown
normalized-j12034_4-sat.smt2,0.002,unknown
normalized-j12036_3-sat.smt2,0.002,unknown
normalized-j12036_4-sat.smt2,0.002,unknown
normalized-j12037_7-sat.smt2,0.002,unknown
normalized-j12045_10-sat.smt2,0.002,unknown
normalized-j12058_4-sat.smt2,0.002,unknown
normalized-j1209_4-sat.smt2,0.002,unknown
normalized-j3020_1-sat.smt2,0.187,sat
normalized-j3024_4-sat.smt2,0.2,sat
normalized-j3025_1-sat.smt2,9.53,sat
normalized-j3025_7-sat.smt2,2.834,sat
normalized-j3027_8-sat.smt2,0.176,sat
normalized-j3029_6-sat.smt2,51.126,unknown
normalized-j3031_7-sat.smt2,0.209,sat
normalized-j3037_5-sat.smt2,0.275,sat
normalized-j3048_8-sat.smt2,0.564,sat
normalized-j308_6-sat.smt2,0.695,sat
normalized-j309_9-sat.smt2,6.974,sat
normalized-j6015_4-sat.smt2,0.344,sat
normalized-j6018_3-sat.smt2,0.394,sat
normalized-j6022_1-sat.smt2,0.339,sat
normalized-j6035_10-sat.smt2,0.346,sat
normalized-j6040_1-sat.smt2,0.427,sat
normalized-j6041_4-sat.smt2,113.958,unknown
normalized-j6048_4-sat.smt2,0.369,sat
normalized-j605_7-sat.smt2,54.52,unknown
normalized-j9010_8-sat.smt2,4.04,sat
normalized-j9012_5-sat.smt2,0.546,sat
normalized-j9027_5-sat.smt2,0.003,unknown
normalized-j9035_5-sat.smt2,0.003,unknown
normalized-j9042_5-sat.smt2,0.005,unknown
normalized-j9043_2-sat.smt2,0.582,sat
normalized-j906_2-sat.smt2,0.568,sat
