,0,1
problem__001.smt2,0.032,sat
problem__002.smt2,0.04,sat
problem__003.smt2,0.039,sat
problem__004.smt2,0.04,sat
problem__005.smt2,0.038,sat
problem__006.smt2,0.042,sat
problem__007.smt2,0.034,sat
problem__008.smt2,0.041,sat
problem__009.smt2,0.037,sat
problem__010.smt2,0.044,sat
problem__011.smt2,0.036,sat
problem__012.smt2,0.036,sat
problem__013.smt2,0.032,sat
problem__014.smt2,0.04,sat
problem__015.smt2,0.033,sat
problem__016.smt2,0.033,sat
problem__017.smt2,0.038,sat
problem__018.smt2,0.039,sat
problem__019.smt2,0.042,sat
problem__020.smt2,0.033,sat
problem__021.smt2,0.035,sat
problem__022.smt2,0.041,sat
problem__023.smt2,0.038,sat
problem__024.smt2,0.038,sat
problem__025.smt2,0.031,sat
problem__026.smt2,0.041,sat
problem__027.smt2,0.037,sat
problem__028.smt2,0.035,sat
problem__029.smt2,0.031,sat
problem__030.smt2,0.037,sat
problem__031.smt2,0.042,sat
problem__032.smt2,0.053,sat
problem__033.smt2,0.036,sat
problem__034.smt2,0.056,sat
problem__035.smt2,0.044,sat
problem_2__001.smt2,0.032,sat
problem_2__002.smt2,0.033,sat
problem_2__003.smt2,0.041,sat
problem_2__004.smt2,0.048,sat
problem_2__005.smt2,0.038,sat
problem_2__006.smt2,0.04,sat
problem_2__007.smt2,0.037,sat
problem_2__008.smt2,0.034,sat
problem_2__009.smt2,0.032,sat
problem_2__010.smt2,0.037,sat
problem_2__011.smt2,0.036,sat
problem_2__012.smt2,0.039,sat
problem_2__013.smt2,0.039,sat
problem_2__014.smt2,0.031,sat
problem_2__015.smt2,0.038,sat
problem_2__016.smt2,0.041,sat
problem_2__017.smt2,0.04,sat
problem_2__018.smt2,0.036,sat
problem_2__019.smt2,0.033,sat
problem_2__020.smt2,0.035,sat
problem_2__021.smt2,0.036,sat
problem_2__022.smt2,0.037,sat
problem_2__023.smt2,0.038,sat
problem_2__024.smt2,0.033,sat
problem_2__025.smt2,0.037,sat
problem_2__026.smt2,0.035,sat
problem_2__027.smt2,0.042,sat
problem_2__028.smt2,0.038,sat
problem_2__029.smt2,0.047,sat
problem_2__030.smt2,0.038,sat
problem_2__031.smt2,0.038,sat
problem_2__032.smt2,0.035,sat
problem_2__033.smt2,0.046,sat
problem_2__034.smt2,0.038,sat
problem_2__035.smt2,0.038,sat
